876	    2	0.833333	1
940	    4	0.187500	1
1054	4	0.006944	4
1114	4	0.534722	25
1143	4	0.006944	1
1157	4	2.527778	1
2199	4	0.006944	7
2234	4	0.006944	1
2272	4	2.791667	1
2400	4	3.812500	18
2579	4	0.006944	3
2670	4	0.006944	24
2694	4	0.006944	2
2755	4	0.006944	8
2860	4	0.006944	17
2915	4	0.006944	9
2955	4	1.527778	13
2992	4	0.006944	9
3005	4	0.013889	5
3010	4	0.034722	28
3050	4	0.694444	1
3100	4	0.006944	4
3200	4	3.340278	2
3230	4	0.159722	28
3231	4	2.875000	1
3326	4	3.347222	7
3364	4	2.826389	4
3370	4	0.694444	11
3381	4	0.006944	1
3411	4	4.972222	1
3450	4	3.722222	2
3459	4	4.423611	3
3476	4	0.006944	2
3518	4	0.006944	2
3607	4	3.298611	6
3628	4	0.006944	6
3722	104	2.180556	1
3819	104	0.027778	2
3837	4	0.006944	2
3879	4	0.055556	19
3930	104	0.006944	8
3956	104	0.006944	1
3984	104	0.006944	2
3994	104	0.006944	3
3998	104	0.013889	3
4000	104	0.006944	8
4006	104	0.006944	2
4063	104	0.006944	8
4104	104	0.006944	5
4186	104	0.006944	8
4187	104	0.006944	4




876, 940, 1054, 1114, 1143, 1157, 2199, 2234, 2272, 2400, 2579, 2670, 2694, 2755, 2860, 2915, 2955, 2992, 3005, 3010, 3050, 3100, 3200, 3230, 3231, 3326, 3364, 3370, 3381, 3411, 3450, 3459, 3476, 3518, 3607, 3628, 3722, 3819, 3837, 3879, 3930, 3956, 3984, 3994, 3998, 4000, 4006, 4063, 4104, 4186, 4187
